product_id,product_name,category,supplier,unit_cost,reorder_level,stock_quantity
P0001,Laptop,Office Furniture,Metro Distributors,15000,20,199
P0002,Monitor,Electronics,Metro Distributors,5000,20,238
P0003,Keyboard,Computer Accessories,TechSource,1000,10,243
P0004,Mouse,Office Furniture,Global Office,700,50,295
P0005,Printer,Mobile Devices,Global Office,2000,30,5
P0006,Office Chair,Computer Accessories,ABC Trading,2000,10,293
P0007,Desk,Electronics,Global Office,10000,10,79
P0008,Headset,Mobile Devices,Metro Distributors,600,,44
P0009,Webcam,Office Furniture,TechSource,900,30,264
P0010,Tablet,Electronics,TechSource,5000,50,289
P0011,Smartphone,Mobile Devices,TechSource,7500,10,241
P0012,Router,Office Furniture,Prime Supplies,500,50,29
P0013,External Drive,Mobile Devices,Global Office,400,10,272
P0014,Projector,Networking,TechSource,2500,5,66
P0015,UPS,Computer Accessories,Metro Distributors,3500,50,66
